1: Feb  7 13:09:01 intranet-server CRON[6439]: pam_unix(cron:session): session closed for user root
2: Feb  7 13:17:01 intranet-server CRON[6516]: pam_unix(cron:session): session opened for user root by (uid=0)
3: Feb  7 13:17:01 intranet-server CRON[6516]: pam_unix(cron:session): session closed for user root
4: Feb  7 13:39:01 intranet-server CRON[6532]: pam_unix(cron:session): session opened for user root by (uid=0)
5: Feb  7 13:39:01 intranet-server CRON[6532]: pam_unix(cron:session): session closed for user root
6: Feb  7 14:09:01 intranet-server CRON[6609]: pam_unix(cron:session): session opened for user root by (uid=0)
7: Feb  7 14:09:01 intranet-server CRON[6609]: pam_unix(cron:session): session closed for user root
8: Feb  7 14:17:01 intranet-server CRON[6693]: pam_unix(cron:session): session opened for user root by (uid=0)
9: Feb  7 14:17:01 intranet-server CRON[6693]: pam_unix(cron:session): session closed for user root
10: Feb  7 14:39:01 intranet-server CRON[6703]: pam_unix(cron:session): session opened for user root by (uid=0)
11: Feb  7 14:39:01 intranet-server CRON[6703]: pam_unix(cron:session): session closed for user root
12: Feb  7 15:09:01 intranet-server CRON[6799]: pam_unix(cron:session): session opened for user root by (uid=0)
13: Feb  7 15:09:01 intranet-server CRON[6799]: pam_unix(cron:session): session closed for user root
14: Feb  7 15:17:01 intranet-server CRON[6870]: pam_unix(cron:session): session opened for user root by (uid=0)
15: Feb  7 15:17:01 intranet-server CRON[6870]: pam_unix(cron:session): session closed for user root
16: Feb  7 15:39:01 intranet-server CRON[6880]: pam_unix(cron:session): session opened for user root by (uid=0)
17: Feb  7 15:39:01 intranet-server CRON[6880]: pam_unix(cron:session): session closed for user root
18: Feb  7 16:09:01 intranet-server CRON[6956]: pam_unix(cron:session): session opened for user root by (uid=0)
19: Feb  7 16:09:01 intranet-server CRON[6956]: pam_unix(cron:session): session closed for user root
20: Feb  7 16:17:01 intranet-server CRON[7039]: pam_unix(cron:session): session opened for user root by (uid=0)
21: Feb  7 16:17:01 intranet-server CRON[7039]: pam_unix(cron:session): session closed for user root
22: Feb  7 16:39:01 intranet-server CRON[7057]: pam_unix(cron:session): session opened for user root by (uid=0)
23: Feb  7 16:39:01 intranet-server CRON[7057]: pam_unix(cron:session): session closed for user root
24: Feb  7 17:09:01 intranet-server CRON[7140]: pam_unix(cron:session): session opened for user root by (uid=0)
25: Feb  7 17:09:01 intranet-server CRON[7140]: pam_unix(cron:session): session closed for user root
26: Feb  7 17:17:01 intranet-server CRON[7214]: pam_unix(cron:session): session opened for user root by (uid=0)
27: Feb  7 17:17:01 intranet-server CRON[7214]: pam_unix(cron:session): session closed for user root
28: Feb  7 17:39:01 intranet-server CRON[7223]: pam_unix(cron:session): session opened for user root by (uid=0)
29: Feb  7 17:39:01 intranet-server CRON[7223]: pam_unix(cron:session): session closed for user root
30: Feb  7 18:09:01 intranet-server CRON[7328]: pam_unix(cron:session): session opened for user root by (uid=0)
